CCL	Drug	AUC
CCL_549	Drug_24	0.96
CCL_553	Drug_11	0.7278
CCL_553	Drug_1	0.8021
CCL_553	Drug_2	0.4536
CCL_553	Drug_3	0.8129
CCL_553	Drug_4	0.6877
CCL_553	Drug_5	0.7577
CCL_553	Drug_6	0.8401
CCL_553	Drug_7	0.2919
CCL_553	Drug_8	0.8858
CCL_553	Drug_9	0.5923
CCL_553	Drug_10	0.445
CCL_553	Drug_17	0.8122
CCL_553	Drug_12	0.59
CCL_553	Drug_13	0.6144
CCL_553	Drug_14	0.8193
CCL_553	Drug_15	0.7837
CCL_553	Drug_16	0.8715
CCL_553	Drug_18	0.5870000000000001
CCL_553	Drug_19	0.9552
CCL_553	Drug_20	0.8190000000000001
CCL_553	Drug_21	0.9204
CCL_553	Drug_22	0.9593
CCL_553	Drug_23	0.8692
CCL_553	Drug_24	0.9727
CCL_554	Drug_11	0.953
CCL_554	Drug_1	0.8721
CCL_554	Drug_2	0.539
CCL_554	Drug_3	0.9114
CCL_554	Drug_5	0.5213
CCL_554	Drug_6	0.9294
CCL_554	Drug_7	0.953
CCL_554	Drug_8	0.8129
CCL_554	Drug_9	0.3474
CCL_554	Drug_10	0.9753
CCL_554	Drug_17	1.0
CCL_554	Drug_12	0.9881
CCL_554	Drug_13	0.9857
CCL_554	Drug_14	0.9778
CCL_554	Drug_15	0.9866
CCL_554	Drug_16	0.9899
CCL_554	Drug_18	0.6609
CCL_554	Drug_19	0.8427
CCL_554	Drug_20	0.9712
CCL_554	Drug_21	0.9406
CCL_554	Drug_22	0.9266
CCL_554	Drug_23	0.9818
CCL_554	Drug_24	0.9805
CCL_555	Drug_11	0.7818
CCL_555	Drug_1	0.815
CCL_555	Drug_2	0.5025
CCL_555	Drug_3	0.8208
CCL_555	Drug_4	0.6183
CCL_555	Drug_5	0.6395
CCL_555	Drug_6	0.8745
CCL_555	Drug_7	0.6823
CCL_555	Drug_8	0.8532
CCL_555	Drug_9	0.3166
CCL_555	Drug_10	0.7902
CCL_555	Drug_17	0.8401
CCL_555	Drug_12	0.9825
CCL_555	Drug_13	0.8142
CCL_555	Drug_14	0.7914
CCL_555	Drug_15	0.8067
CCL_555	Drug_16	0.9568
CCL_555	Drug_18	0.5858
CCL_555	Drug_19	0.9603
CCL_555	Drug_20	0.7957
CCL_555	Drug_21	0.9696
CCL_555	Drug_22	0.8255
CCL_555	Drug_23	0.8390000000000001
CCL_555	Drug_24	0.9797
CCL_556	Drug_11	0.6379
CCL_556	Drug_1	0.8158
CCL_556	Drug_3	0.8673
CCL_556	Drug_4	0.5891
CCL_556	Drug_5	0.7304
CCL_556	Drug_6	0.9264
CCL_556	Drug_7	0.7853
CCL_556	Drug_8	0.7775
CCL_556	Drug_9	0.1678
CCL_556	Drug_10	0.7931
CCL_556	Drug_17	0.8812
CCL_556	Drug_12	0.7337
CCL_556	Drug_13	0.9099
CCL_556	Drug_14	0.5824
CCL_556	Drug_15	0.7898
CCL_556	Drug_16	0.8656
CCL_556	Drug_18	0.5095
CCL_556	Drug_19	0.85
CCL_556	Drug_20	0.7488
CCL_556	Drug_21	0.9398
CCL_556	Drug_22	0.956
CCL_556	Drug_23	0.7655
CCL_556	Drug_24	0.9569
CCL_558	Drug_11	0.8238
CCL_558	Drug_1	0.907
CCL_558	Drug_2	0.5122
CCL_558	Drug_3	0.8261
CCL_558	Drug_5	0.6194
CCL_558	Drug_6	0.8921
CCL_558	Drug_7	0.9458
CCL_558	Drug_8	0.9906
CCL_558	Drug_9	0.6342
CCL_558	Drug_10	0.9157
CCL_558	Drug_17	0.8542
CCL_558	Drug_12	0.9847
CCL_558	Drug_13	0.8025
CCL_558	Drug_14	0.7886
CCL_558	Drug_15	0.8104
CCL_558	Drug_16	0.8401
CCL_558	Drug_18	0.9079
CCL_558	Drug_19	0.9839
CCL_558	Drug_20	0.9911
CCL_558	Drug_21	0.9632
CCL_558	Drug_22	0.9585
CCL_558	Drug_23	0.9264
CCL_558	Drug_24	0.9278
CCL_559	Drug_11	0.8567
CCL_559	Drug_1	0.9226
CCL_559	Drug_2	0.4924
CCL_559	Drug_3	0.8699
CCL_559	Drug_5	0.6976
CCL_559	Drug_6	0.935
CCL_559	Drug_7	0.8351
CCL_559	Drug_8	0.8573
CCL_559	Drug_9	0.7233
CCL_559	Drug_10	0.8739
CCL_559	Drug_17	0.8423
CCL_559	Drug_12	0.9211
CCL_559	Drug_13	0.8474
CCL_559	Drug_14	0.9495
CCL_559	Drug_15	0.9213
CCL_559	Drug_16	0.7611
CCL_559	Drug_18	0.6147
CCL_559	Drug_19	0.8621
CCL_559	Drug_20	0.6176
CCL_559	Drug_21	0.9626
CCL_559	Drug_22	0.7634
CCL_559	Drug_23	0.8751
CCL_559	Drug_24	0.9118
CCL_562	Drug_11	0.7953
CCL_562	Drug_1	0.8707
CCL_562	Drug_2	0.4415
CCL_562	Drug_3	0.8872
CCL_562	Drug_5	0.8198
CCL_562	Drug_6	0.8781
CCL_562	Drug_7	0.9574
CCL_562	Drug_8	0.8112
CCL_562	Drug_9	0.524
CCL_562	Drug_10	0.9438
CCL_562	Drug_17	0.7555
CCL_562	Drug_12	0.9409
CCL_562	Drug_13	0.7583
CCL_562	Drug_14	0.9559
CCL_562	Drug_15	0.7772
CCL_562	Drug_16	0.9683
CCL_562	Drug_18	0.4616
CCL_562	Drug_19	0.8619
CCL_562	Drug_20	0.9057
CCL_562	Drug_21	0.9543
CCL_562	Drug_22	0.8118
CCL_562	Drug_23	0.8352
CCL_562	Drug_24	0.994
CCL_563	Drug_11	0.7798
CCL_563	Drug_1	0.9058
CCL_563	Drug_2	0.4983
CCL_563	Drug_3	0.8238
CCL_563	Drug_4	0.6374
CCL_563	Drug_5	0.5818
CCL_563	Drug_6	0.9701
CCL_563	Drug_7	0.5272
CCL_563	Drug_8	0.7901
CCL_563	Drug_9	0.2706
CCL_563	Drug_10	0.6789
CCL_563	Drug_17	0.8124
CCL_563	Drug_12	0.7162
CCL_563	Drug_13	0.7386
CCL_563	Drug_14	0.732
CCL_563	Drug_15	0.8245
CCL_563	Drug_16	0.8569
CCL_563	Drug_18	0.6794
CCL_563	Drug_19	0.8325
CCL_563	Drug_20	0.8953
CCL_563	Drug_21	0.8081
CCL_563	Drug_22	0.9365
CCL_563	Drug_23	0.8066
CCL_563	Drug_24	0.9526
CCL_564	Drug_11	0.8131
CCL_564	Drug_1	0.926
CCL_564	Drug_2	0.5946
CCL_564	Drug_3	0.8434
CCL_564	Drug_5	0.6891
CCL_564	Drug_6	0.9729
CCL_564	Drug_7	0.8749
CCL_564	Drug_8	0.867
CCL_564	Drug_9	0.4949
CCL_564	Drug_10	0.9061
CCL_564	Drug_17	0.8317
CCL_564	Drug_12	0.9813
CCL_564	Drug_13	0.7499
CCL_564	Drug_14	0.7467
CCL_564	Drug_15	0.8061
CCL_564	Drug_16	0.9088
CCL_564	Drug_18	0.7449
CCL_564	Drug_19	0.9769
CCL_564	Drug_20	0.9326
CCL_564	Drug_21	0.8916
CCL_564	Drug_22	0.9182
CCL_564	Drug_23	0.8158
CCL_564	Drug_24	0.8624
CCL_565	Drug_11	0.7643
CCL_565	Drug_1	0.8653
CCL_565	Drug_2	0.3421
CCL_565	Drug_3	0.7844
CCL_565	Drug_4	0.5095
CCL_565	Drug_5	0.5685
CCL_565	Drug_6	0.8516
CCL_565	Drug_7	0.807
CCL_565	Drug_8	0.8638
CCL_565	Drug_9	0.3666
CCL_565	Drug_10	0.8501
CCL_565	Drug_17	0.8473
CCL_565	Drug_12	0.8597
CCL_565	Drug_13	0.7282
CCL_565	Drug_14	0.7885
CCL_565	Drug_15	0.8118
CCL_565	Drug_16	0.8758
CCL_565	Drug_18	0.3915
CCL_565	Drug_19	0.8424
CCL_565	Drug_20	0.6834
CCL_565	Drug_21	0.983
CCL_565	Drug_22	0.8361
CCL_565	Drug_23	0.8916
CCL_565	Drug_24	0.8390000000000001
CCL_566	Drug_11	0.7188
CCL_566	Drug_1	0.7182
CCL_566	Drug_2	0.5739
CCL_566	Drug_3	0.8045
CCL_566	Drug_4	0.5309
CCL_566	Drug_5	0.5571
CCL_566	Drug_6	0.8774
CCL_566	Drug_7	0.7537
CCL_566	Drug_8	0.8381
CCL_566	Drug_9	0.3464
CCL_566	Drug_10	0.8698
CCL_566	Drug_17	0.8441
CCL_566	Drug_12	0.9609
CCL_566	Drug_13	0.6984
CCL_566	Drug_14	0.7547
CCL_566	Drug_15	0.7436
CCL_566	Drug_16	0.7136
CCL_566	Drug_18	0.737
CCL_566	Drug_19	0.8201
CCL_566	Drug_20	0.7329
CCL_566	Drug_21	0.8845
CCL_566	Drug_22	0.8127
CCL_566	Drug_23	0.8642
CCL_566	Drug_24	0.7631
CCL_570	Drug_11	0.8368
CCL_570	Drug_1	0.7882
CCL_570	Drug_2	0.3984
CCL_570	Drug_3	0.8045
CCL_570	Drug_4	0.5208
CCL_570	Drug_5	0.5192
CCL_570	Drug_6	0.995
CCL_570	Drug_7	0.8272
CCL_570	Drug_8	0.8327
CCL_570	Drug_9	0.4759
CCL_570	Drug_10	0.9227
CCL_570	Drug_17	0.7833
CCL_570	Drug_12	0.8895
CCL_570	Drug_13	0.7233
CCL_570	Drug_14	0.7819
CCL_570	Drug_15	0.7679
CCL_570	Drug_16	0.838
CCL_570	Drug_18	0.6874
CCL_570	Drug_19	0.7736
CCL_570	Drug_20	0.8371
CCL_570	Drug_21	0.9388
CCL_570	Drug_22	0.7781
CCL_570	Drug_23	0.8123
CCL_570	Drug_24	0.7687
CCL_571	Drug_11	0.8267
CCL_571	Drug_1	0.7003
CCL_571	Drug_2	0.4878
CCL_571	Drug_3	0.9637
CCL_571	Drug_4	0.6255
CCL_571	Drug_5	0.6166
CCL_571	Drug_6	0.9435
CCL_571	Drug_7	0.5763
CCL_571	Drug_8	0.8446
CCL_571	Drug_9	0.5335
CCL_571	Drug_10	0.7098
CCL_571	Drug_17	0.4812
CCL_571	Drug_12	0.9441
CCL_571	Drug_13	0.7017
CCL_571	Drug_14	0.8486
CCL_571	Drug_15	0.7449
CCL_571	Drug_16	0.8308
CCL_571	Drug_18	0.6668
CCL_571	Drug_19	0.8751
CCL_571	Drug_20	0.8223
CCL_571	Drug_21	0.9631
CCL_571	Drug_22	0.6713
CCL_571	Drug_23	0.7317
CCL_571	Drug_24	0.9706
CCL_572	Drug_11	0.7701
CCL_572	Drug_1	0.7685
CCL_572	Drug_2	0.4402
CCL_572	Drug_3	0.8059999999999999
CCL_572	Drug_4	0.5669
CCL_572	Drug_5	0.6625
CCL_572	Drug_6	0.8567
CCL_572	Drug_7	0.4563
CCL_572	Drug_8	0.9638
CCL_572	Drug_9	0.5851
CCL_572	Drug_10	0.5799
CCL_572	Drug_17	0.8609
CCL_572	Drug_12	0.6436
CCL_572	Drug_13	0.7276
CCL_572	Drug_14	0.7704
CCL_572	Drug_15	0.7798
CCL_572	Drug_16	0.8172
CCL_572	Drug_18	0.7611
CCL_572	Drug_19	0.85
CCL_572	Drug_20	0.8012
CCL_572	Drug_21	0.9552
CCL_572	Drug_22	0.8270000000000001
CCL_572	Drug_23	0.79
CCL_572	Drug_24	0.8995
CCL_574	Drug_11	0.9091
CCL_574	Drug_1	0.8162
CCL_574	Drug_2	0.5231
CCL_574	Drug_3	0.8334
CCL_574	Drug_5	0.5468
CCL_574	Drug_6	0.9328
CCL_574	Drug_7	0.9491
CCL_574	Drug_8	0.9192
CCL_574	Drug_9	0.4056
CCL_574	Drug_10	0.9247
CCL_574	Drug_17	0.9017
CCL_574	Drug_12	0.9815
CCL_574	Drug_13	0.7923
CCL_574	Drug_14	0.8027
CCL_574	Drug_15	0.9131
CCL_574	Drug_16	0.9737
CCL_574	Drug_18	0.4609
CCL_574	Drug_19	0.9773
CCL_574	Drug_20	0.9862
CCL_574	Drug_21	0.8458
CCL_574	Drug_22	0.9802
CCL_574	Drug_23	0.8551
CCL_574	Drug_24	0.8147
CCL_575	Drug_11	0.9235
CCL_575	Drug_1	0.8885
CCL_575	Drug_2	0.5275
CCL_575	Drug_3	0.9168
CCL_575	Drug_4	0.8386
CCL_575	Drug_5	0.8268
CCL_575	Drug_6	0.8583
CCL_575	Drug_7	0.8174
CCL_575	Drug_8	0.8395
CCL_575	Drug_9	0.5971
CCL_575	Drug_10	0.9409
CCL_575	Drug_17	1.0
CCL_575	Drug_12	0.93
CCL_575	Drug_13	0.8575
CCL_575	Drug_14	0.8137
CCL_575	Drug_15	0.8352
CCL_575	Drug_16	0.9886
CCL_575	Drug_18	0.809
CCL_575	Drug_19	0.8779
CCL_575	Drug_20	0.8898
CCL_575	Drug_21	0.9976
CCL_575	Drug_22	0.9869
CCL_575	Drug_23	0.8334
CCL_575	Drug_24	0.9008
CCL_576	Drug_11	0.8325
CCL_576	Drug_1	0.7798
CCL_576	Drug_2	0.4375
CCL_576	Drug_3	0.8253
CCL_576	Drug_4	0.6986
CCL_576	Drug_5	0.6952
CCL_576	Drug_6	0.9694
CCL_576	Drug_7	0.828
CCL_576	Drug_8	0.85
CCL_576	Drug_9	0.5708
CCL_576	Drug_10	0.9029
CCL_576	Drug_17	0.8361
CCL_576	Drug_12	0.9594
CCL_576	Drug_13	0.7813
CCL_576	Drug_14	0.8963
CCL_576	Drug_15	0.8794
CCL_576	Drug_16	0.8307
CCL_576	Drug_18	0.662
CCL_576	Drug_19	0.8436
CCL_576	Drug_20	0.8254
CCL_576	Drug_21	0.9548
CCL_576	Drug_22	0.8663
CCL_576	Drug_23	0.8486
CCL_576	Drug_24	0.8401
CCL_577	Drug_11	0.7886
CCL_577	Drug_1	0.708
CCL_577	Drug_2	0.4657
CCL_577	Drug_3	0.8459
CCL_577	Drug_5	0.4767
CCL_577	Drug_6	0.8194
CCL_577	Drug_7	0.8074
CCL_577	Drug_9	0.3189
CCL_577	Drug_10	0.9456
CCL_577	Drug_12	0.8342
CCL_577	Drug_13	0.6979
CCL_577	Drug_14	0.8016
CCL_577	Drug_15	0.7302
CCL_577	Drug_16	0.8294
CCL_577	Drug_18	0.6332
CCL_577	Drug_19	0.8984
CCL_577	Drug_20	0.8315
CCL_577	Drug_21	0.8925
CCL_577	Drug_22	0.8189
CCL_577	Drug_23	0.8238
CCL_577	Drug_24	0.8672
CCL_578	Drug_11	0.815
CCL_578	Drug_1	0.7608
CCL_578	Drug_2	0.4885
CCL_578	Drug_3	0.9446
CCL_578	Drug_5	0.6342
CCL_578	Drug_6	0.8199
CCL_578	Drug_7	0.7489
CCL_578	Drug_9	0.2909
CCL_578	Drug_10	0.7626
CCL_578	Drug_12	0.9518
CCL_578	Drug_14	0.8462
CCL_578	Drug_15	0.7761
CCL_578	Drug_16	0.7248
CCL_578	Drug_18	0.6899
CCL_578	Drug_19	0.7721
CCL_578	Drug_20	0.7315
CCL_578	Drug_21	0.9602
CCL_578	Drug_22	0.7106
CCL_578	Drug_23	0.8786
CCL_578	Drug_24	0.9462
CCL_579	Drug_11	0.7517
CCL_579	Drug_1	0.9399
CCL_579	Drug_2	0.5629
CCL_579	Drug_3	0.9765
CCL_579	Drug_4	0.6038
CCL_579	Drug_5	0.6019
CCL_579	Drug_6	0.9294
CCL_579	Drug_7	0.8916
CCL_579	Drug_8	0.8902
CCL_579	Drug_9	0.3643
CCL_579	Drug_10	0.9219
CCL_579	Drug_17	0.83
CCL_579	Drug_12	0.9778
CCL_579	Drug_13	0.8159
CCL_579	Drug_14	0.6711
CCL_579	Drug_15	0.7855
CCL_579	Drug_16	0.8446
CCL_579	Drug_18	0.7518
CCL_579	Drug_19	0.9685
CCL_579	Drug_20	0.9432
CCL_579	Drug_21	0.9644
CCL_579	Drug_22	0.8647
CCL_579	Drug_23	0.7902
CCL_579	Drug_24	1.0
CCL_583	Drug_11	0.7045
CCL_583	Drug_1	0.8521
CCL_583	Drug_2	0.4898
CCL_583	Drug_3	0.7997
CCL_583	Drug_4	0.4631
CCL_583	Drug_5	0.4119
CCL_583	Drug_6	0.8831
CCL_583	Drug_7	0.4504
CCL_583	Drug_8	0.768
CCL_583	Drug_9	0.269
CCL_583	Drug_10	0.6367
CCL_583	Drug_17	0.7192
CCL_583	Drug_12	0.8984
CCL_583	Drug_13	0.6463
CCL_583	Drug_14	0.6315
CCL_583	Drug_15	0.8064
CCL_583	Drug_16	0.8103
CCL_583	Drug_18	0.5754
CCL_583	Drug_19	0.7575
CCL_583	Drug_20	0.7726
CCL_583	Drug_21	0.8828
CCL_583	Drug_22	0.6679
CCL_583	Drug_23	0.7749
CCL_583	Drug_24	0.8088
CCL_585	Drug_11	0.7321
CCL_585	Drug_1	0.7901
CCL_585	Drug_2	0.3987
CCL_585	Drug_3	0.8445
CCL_585	Drug_4	0.5919
CCL_585	Drug_5	0.5369
CCL_585	Drug_6	0.9242
CCL_585	Drug_7	0.5569
CCL_585	Drug_8	0.914
CCL_585	Drug_9	0.3615
CCL_585	Drug_10	0.6664
CCL_585	Drug_17	0.9226
CCL_585	Drug_12	0.8472
CCL_585	Drug_13	0.7518
CCL_585	Drug_14	0.7038
CCL_585	Drug_15	0.7966
CCL_585	Drug_16	0.9632
CCL_585	Drug_18	0.5156
CCL_585	Drug_19	0.9348
CCL_585	Drug_20	0.8283
CCL_585	Drug_21	0.9667
CCL_585	Drug_22	0.795
CCL_585	Drug_23	0.7831
CCL_585	Drug_24	0.9725
CCL_586	Drug_11	0.8499
CCL_586	Drug_1	0.7872
CCL_586	Drug_2	0.3654
CCL_586	Drug_3	0.9886
CCL_586	Drug_4	0.4639
CCL_586	Drug_5	0.4766
CCL_586	Drug_6	0.8886
CCL_586	Drug_7	0.8542
CCL_586	Drug_8	0.7619
CCL_586	Drug_9	0.2495
CCL_586	Drug_10	0.8789
CCL_586	Drug_17	0.9796
CCL_586	Drug_12	0.8542
CCL_586	Drug_13	0.6855
CCL_586	Drug_14	0.6905
CCL_586	Drug_15	0.7034
CCL_586	Drug_16	0.7674
CCL_586	Drug_18	0.4137
CCL_586	Drug_19	0.9216
CCL_586	Drug_20	0.7884
CCL_586	Drug_21	0.9688
CCL_586	Drug_22	0.9581
CCL_586	Drug_23	0.7779
CCL_586	Drug_24	0.9682
CCL_587	Drug_11	0.8903
CCL_587	Drug_1	0.7497
CCL_587	Drug_2	0.3968
CCL_587	Drug_3	1.0
CCL_587	Drug_5	0.5843
CCL_587	Drug_6	0.9169
CCL_587	Drug_7	0.988
CCL_587	Drug_8	0.7703
CCL_587	Drug_9	0.2673
CCL_587	Drug_10	0.912
CCL_587	Drug_17	0.9451
CCL_587	Drug_12	0.9772
CCL_587	Drug_13	0.8278
CCL_587	Drug_14	0.7858
CCL_587	Drug_15	0.9645
CCL_587	Drug_16	1.0
CCL_587	Drug_18	0.5129
CCL_587	Drug_19	0.823
CCL_587	Drug_20	0.95
CCL_587	Drug_21	0.8945
CCL_587	Drug_22	0.9486
CCL_587	Drug_23	0.8106
CCL_587	Drug_24	0.9891
CCL_589	Drug_11	0.8518
CCL_589	Drug_1	0.9652
CCL_589	Drug_2	0.5043
CCL_589	Drug_3	0.8129
CCL_589	Drug_4	0.5368
CCL_589	Drug_5	0.5133
CCL_589	Drug_6	0.8221
CCL_589	Drug_7	0.608
CCL_589	Drug_8	0.9372
CCL_589	Drug_9	0.3301
CCL_589	Drug_10	0.7532
CCL_589	Drug_17	0.8264
CCL_589	Drug_12	0.8634
CCL_589	Drug_13	0.6943
CCL_589	Drug_14	0.8718
CCL_589	Drug_15	0.7817
CCL_589	Drug_16	0.951
CCL_589	Drug_18	0.4495
CCL_589	Drug_19	0.7026
CCL_589	Drug_20	0.8317
CCL_589	Drug_21	0.812
CCL_589	Drug_22	0.8567
CCL_589	Drug_23	0.556
CCL_589	Drug_24	0.7517
CCL_591	Drug_11	0.8284
CCL_591	Drug_1	0.8983
CCL_591	Drug_2	0.5092
CCL_591	Drug_3	0.8849
CCL_591	Drug_4	0.6078
CCL_591	Drug_5	0.6179
CCL_591	Drug_6	0.9545
CCL_591	Drug_7	0.9149
CCL_591	Drug_8	0.9138
CCL_591	Drug_9	0.5565
CCL_591	Drug_10	0.9574
CCL_591	Drug_17	0.8201
CCL_591	Drug_12	0.9581
CCL_591	Drug_13	0.8356
CCL_591	Drug_14	0.7602
CCL_591	Drug_15	0.9141
CCL_591	Drug_16	0.8334
CCL_591	Drug_18	0.6858
CCL_591	Drug_19	1.0
CCL_591	Drug_20	0.8443
CCL_591	Drug_21	0.9465
CCL_591	Drug_22	0.9926
CCL_591	Drug_23	0.9627
CCL_591	Drug_24	1.0
CCL_590	Drug_11	0.7629
CCL_590	Drug_1	0.8909999999999999
CCL_590	Drug_2	0.5397
CCL_590	Drug_3	0.9018
CCL_590	Drug_4	0.7136
CCL_590	Drug_5	0.6509
CCL_590	Drug_6	0.8614
CCL_590	Drug_7	0.8708
CCL_590	Drug_8	0.93
CCL_590	Drug_9	0.5651
CCL_590	Drug_10	0.97
CCL_590	Drug_17	0.9254
CCL_590	Drug_12	0.8532
CCL_590	Drug_13	0.7597
CCL_590	Drug_14	0.8963
CCL_590	Drug_15	0.8609
CCL_590	Drug_16	0.8648
CCL_590	Drug_18	0.5726
CCL_590	Drug_19	0.7636
CCL_590	Drug_20	0.8648
CCL_590	Drug_21	0.9639
CCL_590	Drug_22	0.9344
CCL_590	Drug_23	0.9659
CCL_590	Drug_24	0.9479
CCL_598	Drug_11	0.7388
CCL_598	Drug_1	0.8824
CCL_598	Drug_2	0.3985
CCL_598	Drug_3	0.8268
CCL_598	Drug_4	0.5448
CCL_598	Drug_5	0.6123
CCL_598	Drug_6	0.9618
CCL_598	Drug_7	0.7346
CCL_598	Drug_8	0.7442
CCL_598	Drug_9	0.4606
CCL_598	Drug_10	0.7923
CCL_598	Drug_17	0.8802
CCL_598	Drug_12	0.9626
CCL_598	Drug_13	0.7841
CCL_598	Drug_14	0.6531
CCL_598	Drug_15	0.8382
CCL_598	Drug_16	0.8371
CCL_598	Drug_18	0.6205
CCL_598	Drug_19	0.7602
CCL_598	Drug_20	0.8411
CCL_598	Drug_21	0.8605
CCL_598	Drug_22	0.8533
CCL_598	Drug_23	0.8273
CCL_598	Drug_24	0.7427
CCL_600	Drug_11	0.79
CCL_600	Drug_1	0.8359
CCL_600	Drug_2	0.3784
CCL_600	Drug_3	0.7605
CCL_600	Drug_4	0.4306
CCL_600	Drug_5	0.4109
CCL_600	Drug_6	0.8122
CCL_600	Drug_7	0.937
CCL_600	Drug_8	0.7128
CCL_600	Drug_9	0.3281
CCL_600	Drug_10	0.9024
CCL_600	Drug_17	0.7772
CCL_600	Drug_12	0.8392
CCL_600	Drug_13	0.6004
CCL_600	Drug_14	0.7956
CCL_600	Drug_15	0.722
CCL_600	Drug_16	0.9344
CCL_600	Drug_18	0.6288
CCL_600	Drug_19	0.6881
CCL_600	Drug_20	0.8009999999999999
CCL_600	Drug_21	0.7829999999999999
CCL_600	Drug_22	0.8302
CCL_600	Drug_23	0.7778
CCL_600	Drug_24	0.7725
CCL_603	Drug_11	0.6907
CCL_603	Drug_1	0.7848
CCL_603	Drug_2	0.3415
CCL_603	Drug_3	0.4356
CCL_603	Drug_4	0.5159
CCL_603	Drug_5	0.4299
CCL_603	Drug_6	0.968
CCL_603	Drug_7	0.7536
CCL_603	Drug_8	0.8172
CCL_603	Drug_9	0.2787
CCL_603	Drug_10	0.7818
CCL_603	Drug_17	0.752
CCL_603	Drug_12	0.8493
CCL_603	Drug_13	0.7122
CCL_603	Drug_14	0.5566
CCL_603	Drug_15	0.4549
CCL_603	Drug_16	0.7765
CCL_603	Drug_18	0.3869
CCL_603	Drug_19	0.7301
CCL_603	Drug_20	0.835
CCL_603	Drug_21	0.8516
CCL_603	Drug_22	0.7572
CCL_603	Drug_23	0.7354
CCL_603	Drug_24	0.7669
CCL_605	Drug_11	0.8801
CCL_605	Drug_1	0.8737
CCL_605	Drug_2	0.4227
CCL_605	Drug_3	0.965
CCL_605	Drug_5	0.691
CCL_605	Drug_6	0.8286
CCL_605	Drug_7	0.902
CCL_605	Drug_9	0.2959
CCL_605	Drug_10	0.9261
CCL_605	Drug_12	0.962
CCL_605	Drug_14	0.8690000000000001
CCL_605	Drug_15	0.8167
CCL_605	Drug_16	0.9276
CCL_605	Drug_18	0.5798
CCL_605	Drug_19	0.7921
CCL_605	Drug_20	0.9186
CCL_605	Drug_21	0.955
CCL_605	Drug_22	0.9399
CCL_605	Drug_23	0.9178
CCL_605	Drug_24	0.9874
CCL_606	Drug_11	0.8671
CCL_606	Drug_1	0.8476
CCL_606	Drug_2	0.479
CCL_606	Drug_3	0.955
CCL_606	Drug_4	0.629
CCL_606	Drug_5	0.6766
CCL_606	Drug_6	0.9026
CCL_606	Drug_7	0.8786
CCL_606	Drug_8	0.9822
CCL_606	Drug_9	0.4597
CCL_606	Drug_10	0.9752
CCL_606	Drug_17	0.8188
CCL_606	Drug_12	0.9761
CCL_606	Drug_13	0.8169
CCL_606	Drug_14	0.7142
CCL_606	Drug_15	0.8268
CCL_606	Drug_16	0.9589
CCL_606	Drug_18	0.6589
CCL_606	Drug_19	0.9056
CCL_606	Drug_20	0.9426
CCL_606	Drug_21	0.9348
CCL_606	Drug_22	0.9354
CCL_606	Drug_23	0.8341
CCL_606	Drug_24	0.9197
CCL_607	Drug_11	0.9312
CCL_607	Drug_1	0.8277
CCL_607	Drug_2	0.465
CCL_607	Drug_3	0.8491
CCL_607	Drug_5	0.6004
CCL_607	Drug_6	0.8898
CCL_607	Drug_7	0.6438
CCL_607	Drug_8	0.8027
CCL_607	Drug_9	0.4211
CCL_607	Drug_10	0.7968
CCL_607	Drug_17	0.8112
CCL_607	Drug_12	0.8477
CCL_607	Drug_13	0.6837
CCL_607	Drug_14	0.7312
CCL_607	Drug_15	0.7443
CCL_607	Drug_16	0.9006
CCL_607	Drug_18	0.5618
CCL_607	Drug_19	0.9274
CCL_607	Drug_20	0.8223
CCL_607	Drug_21	0.8241
CCL_607	Drug_22	0.8668
CCL_607	Drug_23	0.8427
CCL_607	Drug_24	0.953
CCL_622	Drug_11	0.8556
CCL_622	Drug_1	0.8005
CCL_622	Drug_2	0.4547
CCL_622	Drug_3	0.8129
CCL_622	Drug_4	0.4732
CCL_622	Drug_5	0.4108
CCL_622	Drug_6	0.9479
CCL_622	Drug_7	0.8712
CCL_622	Drug_8	0.996
CCL_622	Drug_9	0.2966
CCL_622	Drug_10	0.9307
CCL_622	Drug_17	0.8219
CCL_622	Drug_12	0.9508
CCL_622	Drug_13	0.7244
CCL_622	Drug_14	0.6988
CCL_622	Drug_15	0.7684
CCL_622	Drug_16	0.8687
CCL_622	Drug_18	0.4795
CCL_622	Drug_19	0.9342
CCL_622	Drug_20	0.8839
CCL_622	Drug_21	0.8607
CCL_622	Drug_22	0.7927
CCL_622	Drug_23	0.8293
CCL_622	Drug_24	0.9309
CCL_623	Drug_11	0.8204
CCL_623	Drug_1	0.9169
CCL_623	Drug_2	0.4837
CCL_623	Drug_3	0.9919
CCL_623	Drug_4	0.5219
CCL_623	Drug_5	0.5576
CCL_623	Drug_6	0.9916
CCL_623	Drug_7	0.9906
CCL_623	Drug_8	0.9539
CCL_623	Drug_9	0.7074
CCL_623	Drug_10	0.9313
CCL_623	Drug_17	0.9414
CCL_623	Drug_12	0.96
CCL_623	Drug_13	0.8018
CCL_623	Drug_14	0.9523
CCL_623	Drug_15	0.8231
CCL_623	Drug_16	0.9794
CCL_623	Drug_18	0.8392
CCL_623	Drug_19	0.955
CCL_623	Drug_20	0.9408
CCL_623	Drug_21	0.9421
CCL_623	Drug_22	0.9907
CCL_623	Drug_23	0.8257
CCL_623	Drug_24	0.9845
CCL_625	Drug_11	0.8598
CCL_625	Drug_1	0.9052
CCL_625	Drug_2	0.4622
